observation_date,DHHNGSP
2013-11-01,3.45
2013-11-04,3.38
2013-11-05,3.37
2013-11-06,3.46
2013-11-07,3.59
2013-11-08,3.54
2013-11-11,3.62
2013-11-12,3.69
2013-11-13,3.69
2013-11-14,3.52
2013-11-15,3.56
2013-11-18,3.71
2013-11-19,3.63
2013-11-20,3.63
2013-11-21,3.68
2013-11-22,3.78
2013-11-25,3.85
2013-11-26,3.87
2013-11-27,3.87
2013-11-29,3.87
2013-12-02,3.85
2013-12-03,3.84
2013-12-04,3.89
2013-12-05,3.97
2013-12-06,4.15
2013-12-09,4.24
2013-12-10,4.24
2013-12-11,4.24
2013-12-12,4.40
2013-12-13,4.44
2013-12-16,4.21
2013-12-17,4.20
2013-12-18,4.25
2013-12-19,4.25
2013-12-20,4.35
2013-12-23,4.52
2013-12-24,4.52
2013-12-26,4.40
2013-12-27,4.34
2013-12-30,4.41
2013-12-31,4.31
2014-01-02,4.32
2014-01-03,4.39
2014-01-06,4.50
2014-01-07,4.58
2014-01-08,4.36
2014-01-09,4.15
2014-01-10,3.95
2014-01-13,4.19
2014-01-14,4.36
2014-01-15,4.45
2014-01-16,4.55
2014-01-17,4.39
2014-01-21,4.61
2014-01-22,4.92
2014-01-23,5.64
2014-01-24,5.17
2014-01-27,5.66
2014-01-28,5.25
2014-01-29,5.23
2014-01-30,5.27
2014-01-31,5.04
2014-02-03,5.04
2014-02-04,5.78
2014-02-05,8.12
2014-02-06,6.90
2014-02-07,5.92
2014-02-10,8.15
2014-02-11,7.75
2014-02-12,5.96
2014-02-13,5.34
2014-02-14,5.54
2014-02-18,5.80
2014-02-19,6.00
2014-02-20,5.96
2014-02-21,6.24
2014-02-24,6.08
2014-02-25,5.21
2014-02-26,4.81
2014-02-27,4.61
2014-02-28,4.80
2014-03-03,7.09
2014-03-04,7.98
2014-03-05,6.46
2014-03-06,4.89
2014-03-07,4.78
2014-03-10,4.67
2014-03-11,4.67
2014-03-12,4.72
2014-03-13,4.41
2014-03-14,4.40
2014-03-17,4.57
2014-03-18,4.42
2014-03-19,4.43
2014-03-20,4.39
2014-03-21,4.33
2014-03-24,4.42
2014-03-25,4.53
2014-03-26,4.44
2014-03-27,4.39
2014-03-28,4.50
2014-03-31,4.48
