observation_date,DCOILWTICO
2014-02-03,96.44
2014-02-04,97.24
2014-02-05,97.40
2014-02-06,97.84
2014-02-07,99.98
2014-02-10,100.12
2014-02-11,99.96
2014-02-12,100.38
2014-02-13,100.27
2014-02-14,100.31
2014-02-18,102.54
2014-02-19,103.46
2014-02-20,103.20
2014-02-21,102.53
2014-02-24,103.17
2014-02-25,102.20
2014-02-26,102.93
2014-02-27,102.68
2014-02-28,102.88
2014-03-03,105.34
2014-03-04,103.64
2014-03-05,101.75
2014-03-06,101.82
2014-03-07,102.82
2014-03-10,101.39
2014-03-11,100.29
2014-03-12,98.29
2014-03-13,98.57
2014-03-14,99.23
2014-03-17,98.43
2014-03-18,100.08
2014-03-19,100.71
2014-03-20,99.68
2014-03-21,99.97
2014-03-24,100.05
2014-03-25,99.66
2014-03-26,100.61
2014-03-27,101.25
2014-03-28,101.73
2014-03-31,101.57
2014-04-01,99.69
2014-04-02,99.60
2014-04-03,100.29
2014-04-04,101.16
2014-04-07,100.43
2014-04-08,102.57
2014-04-09,103.55
2014-04-10,103.37
2014-04-11,103.68
2014-04-14,104.05
2014-04-15,103.70
2014-04-16,103.71
2014-04-17,104.33
2014-04-21,104.35
2014-04-22,101.69
2014-04-23,101.47
2014-04-24,102.20
2014-04-25,100.85
2014-04-28,101.13
2014-04-29,101.56
2014-04-30,100.07
2014-05-01,99.69
2014-05-02,100.09
2014-05-05,99.74
2014-05-06,99.81
2014-05-07,101.06
2014-05-08,100.52
2014-05-09,100.32
2014-05-12,100.89
2014-05-13,102.01
2014-05-14,102.63
2014-05-15,101.74
2014-05-16,102.31
2014-05-19,102.95
2014-05-20,102.80
2014-05-21,104.31
2014-05-22,104.03
2014-05-23,105.01
2014-05-27,104.78
2014-05-28,103.37
2014-05-29,104.26
2014-05-30,103.40
2014-06-02,103.07
2014-06-03,103.34
2014-06-04,103.27
2014-06-05,103.17
2014-06-06,103.32
2014-06-09,105.09
2014-06-10,105.02
2014-06-11,105.04
2014-06-12,107.20
2014-06-13,107.49
2014-06-16,107.52
2014-06-17,106.95
2014-06-18,106.64
2014-06-19,107.08
2014-06-20,107.95
2014-06-23,106.83
2014-06-24,106.64
2014-06-25,107.04
2014-06-26,106.49
2014-06-27,106.46
2014-06-30,106.07
